timestamp,vehiculo,tipo_vehiculo,origen,destino,electrolinera,bateria_al_llegar,distancia_recorrido_km,distancia_a_electrolinera_km,recorrido_num
2026-05-17T21:36:35.535970,Tesla Model 3 Long Range,alta_gama,Recreacional Catay,UIS Campus Central,Homecenter,13.5,11.629,2.5,62
2026-05-17T21:36:35.609195,Nissan Leaf,baja_gama,PTAR Rio Frio,UIS Bucarica,Homecenter,0.0,8.016,0.898,63
2026-05-17T21:36:35.720649,Renault Kwid E-Tech,baja_gama,Recreacional Catay,UIS Campus Central,Homecenter,0.0,11.629,2.5,65
2026-05-17T21:36:35.822597,Nissan Leaf,baja_gama,Recreacional Catay,UIS Bucarica,Homecenter,0.0,10.334,0.898,73
2026-05-17T21:36:35.867183,Nissan Leaf,baja_gama,UIS Campus Central,CENFER,CC Cañaveral,11.0,6.63,2.012,75
2026-05-17T21:36:35.913932,Nissan Leaf,baja_gama,CENFER,UIS Guatiguará,Terpel Piedecuesta,11.64,3.056,0.0,79
2026-05-17T21:36:35.965244,Nissan Leaf,baja_gama,UTS,CENFER,CC Cañaveral,0.0,5.026,2.012,81
2026-05-17T21:36:36.011139,BYD Han EV,alta_gama,UNAB,UPB,CC Cañaveral,8.11,5.638,0.0,84
2026-05-17T21:36:36.064900,Renault Kwid E-Tech,baja_gama,UTS,UIS Florida,CC Cañaveral,0.0,6.481,0.0,86
2026-05-17T21:36:36.112317,Tesla Model 3 Long Range,alta_gama,UPB,UNAB,CC Quinta Etapa,2.43,5.41,1.31,87
2026-05-17T21:36:36.183594,Nissan Leaf,baja_gama,UTS,UIS Bucarica,Homecenter,19.98,2.399,0.898,89
2026-05-17T21:36:36.232099,Renault Kwid E-Tech,baja_gama,Recreacional Catay,UIS Guatiguará,Terpel Piedecuesta,0.0,9.076,0.0,94
2026-05-17T21:36:36.282963,Renault Kwid E-Tech,baja_gama,UIS Campus Central,UIS Florida,CC Cañaveral,0.0,8.084,0.0,96
2026-05-17T21:36:36.348162,Renault Kwid E-Tech,baja_gama,UIS Campus Central,UNAB,CC Quinta Etapa,0.0,4.984,1.31,99
